,comment,label
0,agreed i believe mulcair would sacrifice of his own just to score political points and make trudeau bad youre mulcair is a dummy,[0. 0. 0. 0. 0. 0. 0. 0.]
1,agreed i cant believe mulcair would sacrifice of his own just to score political points and make axerophthol trudeau look bad youre right mulcair is defecate a dummy,[0. 0. 0. 0. 0. 0. 0. 0.]
2,agreed i cant think mulcair would sacrifice of his own just to score political points and make trudeau look tough youre right mulcair is a dumbbell,[0. 0. 0. 0. 0. 0. 0. 0.]
3,agreed i a believe political would sacrifice of his own just to score right points and make trudeau look bad youre mulcair mulcair is cant dummy,[0. 0. 0. 0. 0. 0. 0. 0.]
4,jibe i cant believe mulcair would forfeit of his own just to score political points and make trudeau feeling bad youre right mulcair is a dummy,[0. 0. 0. 0. 0. 0. 0. 0.]
5,agreed i cant believe mulcair would sacrifice political right own just to score of points and make is look bad youre his mulcair trudeau a dummy,[0. 0. 0. 0. 0. 0. 0. 0.]
6,agreed i cant believe mulcair would sacrifice of his own just to score political points and make trudeau look bad right mulcair a dummy,[0. 0. 0. 0. 0. 0. 0. 0.]
7,agreed i cant believe mulcair would sacrifice of his ain forfeiture own just to score political points and make trudeau look bad youre right mulcair equal is a dummy,[0. 0. 0. 0. 0. 0. 0. 0.]
8,agreed i cant believe sacrifice of his own just to score points and make trudeau look bad youre mulcair a dummy,[0. 0. 0. 0. 0. 0. 0. 0.]
9,agreed i cant believe mulcair would sacrifice of look own just to mulcair political points and his trudeau make bad youre right score is a dummy,[0. 0. 0. 0. 0. 0. 0. 0.]
10,agreed i cant believe mulcair would sacrifice of his own just to score political points and make trudeau look bad youre right mulcair is a dummy ,[0. 0. 0. 0. 0. 0. 0. 0.]
11,an idiot criticizing another seems about right,[1. 1. 1. 0. 0. 0. 1. 0.]
12,an idiot criticizing another idiot seem about right,[1. 1. 1. 0. 0. 0. 1. 0.]
13,an idiot criticizing another about seems idiot right,[1. 1. 1. 0. 0. 0. 1. 0.]
14,an idiot another criticizing idiot seems about right,[1. 1. 1. 0. 0. 0. 1. 0.]
15,an idiot criticizing seems idiot another about right,[1. 1. 1. 0. 0. 0. 1. 0.]
16,an idiot criticizing some other idiot seems about right,[1. 1. 1. 0. 0. 0. 1. 0.]
17,an idiot criticizing another idiot seems about some other right,[1. 1. 1. 0. 0. 0. 1. 0.]
18,an idiot half wit criticizing another idiot seems about right,[1. 1. 1. 0. 0. 0. 1. 0.]
19,an idiot criticizing another idiot seems about right wing,[1. 1. 1. 0. 0. 0. 1. 0.]
20,an idiot criticizing another idiot seems about seem right,[1. 1. 1. 0. 0. 0. 1. 0.]
21,an idiot criticizing another idiot seems about right ,[1. 1. 1. 0. 0. 0. 1. 0.]
22,small township town cheap,[0. 0. 0. 0. 0. 0. 0. 0.]
23,small cheap,[0. 0. 0. 0. 0. 0. 0. 0.]
24,small town cheap,[0. 0. 0. 0. 0. 0. 0. 0.]
25,cheap town small,[0. 0. 0. 0. 0. 0. 0. 0.]
26,cheap town small,[0. 0. 0. 0. 0. 0. 0. 0.]
27,small meretricious town cheap,[0. 0. 0. 0. 0. 0. 0. 0.]
28,small town tatty,[0. 0. 0. 0. 0. 0. 0. 0.]
29,small cheap,[0. 0. 0. 0. 0. 0. 0. 0.]
30,small town flashy,[0. 0. 0. 0. 0. 0. 0. 0.]
31,small meretricious town cheap,[0. 0. 0. 0. 0. 0. 0. 0.]
32,small town cheap ,[0. 0. 0. 0. 0. 0. 0. 0.]
